2,2,2,social_media_checks1_scene3,0,0.0,3.381,walk,computer410_scene3,
2,2,2,social_media_checks1_scene3,1,3.381,6.762,ActionXXX1,MainObjectXXX1,
2,2,2,social_media_checks1_scene3,2,6.762,16.008,sit,MainObjectXXX2,
2,2,2,social_media_checks1_scene3,3,16.008,35.19,type,keyboard413_scene3,
2,2,2,social_media_checks1_scene3,4,35.19,40.571999999999996,stand,,
2,2,2,social_media_checks1_scene3,5,40.571999999999996,49.059,switchOff,MainObjectXXX5,
2,2,2,social_media_checks1_scene3,6,49.059,59.270999999999994,walk,kitchen11_scene3,
2,2,2,social_media_checks1_scene3,7,59.270999999999994,65.964,walk,MainObjectXXX7,
2,2,2,social_media_checks1_scene3,8,65.964,69.069,grab,breadslice170_scene3,
2,2,2,social_media_checks1_scene3,9,69.069,79.143,eat,breadslice170_scene3,
