5,5,5,write_notes1_scene4,0,0.0,2.691,walk,MainObjectXXX0,
5,5,5,write_notes1_scene4,1,2.691,5.795999999999999,grab,notes253_scene4,
5,5,5,write_notes1_scene4,2,5.795999999999999,10.625999999999998,ActionXXX2,desk219_scene4,
5,5,5,write_notes1_scene4,3,10.625999999999998,12.212999999999997,walk,chair218_scene4,
5,5,5,write_notes1_scene4,4,12.212999999999997,20.217,sit,chair218_scene4,
5,5,5,write_notes1_scene4,5,20.217,32.016,ActionXXX5,MainObjectXXX5,
5,5,5,write_notes1_scene4,6,32.016,39.123,ActionXXX6,,
5,5,5,write_notes1_scene4,7,39.123,42.021,walk,MainObjectXXX7,
5,5,5,write_notes1_scene4,8,42.021,45.057,put,notes253_scene4,desk219_scene4
5,5,5,write_notes1_scene4,9,45.057,56.304,walk,MainObjectXXX9,
5,5,5,write_notes1_scene4,10,56.304,63.411,ActionXXX10,MainObjectXXX10,
5,5,5,write_notes1_scene4,11,63.411,66.309,walk,MainObjectXXX11,
5,5,5,write_notes1_scene4,11,66.309,69.207,walk,MainObjectXXX11,
5,5,5,write_notes1_scene4,12,69.207,76.452,ActionXXX12,MainObjectXXX12,
